fips,stock_jan1,entries,exits,year,entry_rate,exit_rate,definition
12085,47,4,3,2006,0.0851063829787234,0.06382978723404255,E1 store
12086,1010,220,193,2006,0.21782178217821782,0.1910891089108911,E1 store
12087,39,1,0,2006,0.02564102564102564,0.0,E1 store
12089,42,3,3,2006,0.07142857142857142,0.07142857142857142,E1 store
12091,109,5,10,2006,0.045871559633027525,0.09174311926605505,E1 store
12093,23,2,0,2006,0.08695652173913043,0.0,E1 store
12095,499,77,60,2006,0.15430861723446893,0.12024048096192384,E1 store
12097,106,28,12,2006,0.2641509433962264,0.11320754716981132,E1 store
12099,415,70,58,2006,0.1686746987951807,0.13975903614457832,E1 store
12101,222,21,19,2006,0.0945945945945946,0.08558558558558559,E1 store
12103,457,71,46,2006,0.15536105032822758,0.10065645514223195,E1 store
12105,349,48,37,2006,0.13753581661891118,0.10601719197707736,E1 store
12107,79,5,9,2006,0.06329113924050633,0.11392405063291139,E1 store
12109,46,4,1,2006,0.08695652173913043,0.021739130434782608,E1 store
12111,89,11,12,2006,0.12359550561797752,0.1348314606741573,E1 store
12113,77,4,13,2006,0.05194805194805195,0.16883116883116883,E1 store
12115,112,9,8,2006,0.08035714285714286,0.07142857142857142,E1 store
12117,161,23,19,2006,0.14285714285714285,0.11801242236024845,E1 store
12119,37,6,7,2006,0.16216216216216217,0.1891891891891892,E1 store
12121,32,3,2,2006,0.09375,0.0625,E1 store
12123,21,3,3,2006,0.14285714285714285,0.14285714285714285,E1 store
12125,11,2,3,2006,0.18181818181818182,0.2727272727272727,E1 store
12127,243,19,20,2006,0.07818930041152264,0.0823045267489712,E1 store
12129,15,3,0,2006,0.2,0.0,E1 store
12131,29,1,1,2006,0.034482758620689655,0.034482758620689655,E1 store
12133,21,0,3,2006,0.0,0.14285714285714285,E1 store
13001,23,3,8,2006,0.13043478260869565,0.34782608695652173,E1 store
13003,12,2,2,2006,0.16666666666666666,0.16666666666666666,E1 store
13005,12,1,1,2006,0.08333333333333333,0.08333333333333333,E1 store
13007,3,1,1,2006,0.3333333333333333,0.3333333333333333,E1 store
13009,30,3,3,2006,0.1,0.1,E1 store
13011,4,0,1,2006,0.0,0.25,E1 store
13013,27,4,3,2006,0.14814814814814814,0.1111111111111111,E1 store
13015,47,7,11,2006,0.14893617021276595,0.23404255319148937,E1 store
13017,27,3,7,2006,0.1111111111111111,0.25925925925925924,E1 store
13019,21,5,9,2006,0.23809523809523808,0.42857142857142855,E1 store
13021,147,20,31,2006,0.1360544217687075,0.2108843537414966,E1 store
13023,14,1,0,2006,0.07142857142857142,0.0,E1 store
13025,20,1,2,2006,0.05,0.1,E1 store
13027,22,1,1,2006,0.045454545454545456,0.045454545454545456,E1 store
13029,12,2,2,2006,0.16666666666666666,0.16666666666666666,E1 store
13031,54,6,8,2006,0.1111111111111111,0.14814814814814814,E1 store
13033,24,5,3,2006,0.20833333333333334,0.125,E1 store
13035,9,2,1,2006,0.2222222222222222,0.1111111111111111,E1 store
13037,7,1,0,2006,0.14285714285714285,0.0,E1 store
13039,28,1,3,2006,0.03571428571428571,0.10714285714285714,E1 store
13043,14,5,5,2006,0.35714285714285715,0.35714285714285715,E1 store
13045,66,11,14,2006,0.16666666666666666,0.21212121212121213,E1 store
13047,25,2,0,2006,0.08,0.0,E1 store
13049,15,1,2,2006,0.06666666666666667,0.13333333333333333,E1 store
13051,138,10,12,2006,0.07246376811594203,0.08695652173913043,E1 store
13053,2,0,0,2006,0.0,0.0,E1 store
13055,16,1,2,2006,0.0625,0.125,E1 store
13057,47,5,4,2006,0.10638297872340426,0.0851063829787234,E1 store
13059,53,5,8,2006,0.09433962264150944,0.1509433962264151,E1 store
13061,4,3,1,2006,0.75,0.25,E1 store
13063,154,23,29,2006,0.14935064935064934,0.18831168831168832,E1 store
13065,9,1,1,2006,0.1111111111111111,0.1111111111111111,E1 store
13067,206,28,22,2006,0.13592233009708737,0.10679611650485436,E1 store
13069,54,8,8,2006,0.14814814814814814,0.14814814814814814,E1 store
13071,44,7,11,2006,0.1590909090909091,0.25,E1 store
13073,40,5,8,2006,0.125,0.2,E1 store
13075,19,5,6,2006,0.2631578947368421,0.3157894736842105,E1 store
13077,41,12,8,2006,0.2926829268292683,0.1951219512195122,E1 store
13079,6,2,1,2006,0.3333333333333333,0.16666666666666666,E1 store
13081,32,6,6,2006,0.1875,0.1875,E1 store
13083,12,2,2,2006,0.16666666666666666,0.16666666666666666,E1 store
13085,10,3,1,2006,0.3,0.1,E1 store
13087,41,3,4,2006,0.07317073170731707,0.0975609756097561,E1 store
13089,291,50,41,2006,0.1718213058419244,0.140893470790378,E1 store
13091,18,3,4,2006,0.16666666666666666,0.2222222222222222,E1 store
